category,total,matched,match_rate,avg_similarity,table_items,table_matched,table_match_rate
동의 취득,2,2,100.0,0.740125,0,0,0.0
선정기준,5,3,60.0,0.8616666666666667,0,0,0.0
제외기준,5,3,60.0,0.8500000000000001,0,0,0.0
평가,1,0,0.0,0.0,0,0,0.0
인구학적특성,9,9,100.0,0.867388888888889,0,0,0.0
질병력,31,29,93.54838709677419,0.8696649666029846,31,29,93.54838709677419
