category,total,matched,match_rate,avg_similarity,table_items,table_matched,table_match_rate
미분류,17,15,88.23529411764706,0.8107016132961846,5,5,100.0
가족력,2,1,50.0,0.9339999999999999,2,1,50.0
인구학적특성,1,1,100.0,0.9339999999999999,0,0,0.0
질병력,1,1,100.0,0.9235,1,1,100.0
우울증선별,1,0,0.0,0.0,0,0,0.0
