category,total,matched,match_rate,avg_similarity,table_items,table_matched,table_match_rate
미분류,86,17,19.767441860465116,0.7931085765761048,24,5,20.833333333333336
가족력,2,1,50.0,0.9339999999999999,2,1,50.0
인구학적특성,1,1,100.0,0.9339999999999999,0,0,0.0
질병력,1,1,100.0,0.9235,1,1,100.0
우울증선별,1,0,0.0,0.0,0,0,0.0
